Date,Predicted_NDVI
2025-08-29,0.788
2025-09-14,0.7741
2025-09-30,0.7606
2025-10-16,0.7612
2025-11-01,0.7655
2025-11-17,0.7771
2025-12-03,0.7765
2025-12-19,0.7738
2026-01-04,0.7725
2026-01-20,0.812
2026-02-05,0.816
2026-02-21,0.8452
2026-03-09,0.8511
2026-03-25,0.8583
2026-04-10,0.8618
2026-04-26,0.8654
2026-05-12,0.8653
2026-05-28,0.8583
2026-06-13,0.8568
2026-06-29,0.8066
2026-07-15,0.8103
2026-07-31,0.8062
2026-08-16,0.7972
2026-09-01,0.7784
2026-09-17,0.7657
2026-10-03,0.7615
2026-10-19,0.765
2026-11-04,0.7627
2026-11-20,0.7724
2026-12-06,0.7767
2026-12-22,0.7771
2027-01-07,0.774
2027-01-23,0.8089
2027-02-08,0.8149
2027-02-24,0.8452
2027-03-12,0.8512
2027-03-28,0.8583
2027-04-13,0.8618
2027-04-29,0.8653
2027-05-15,0.8654
2027-05-31,0.8581
2027-06-16,0.8568
2027-07-02,0.8066
2027-07-18,0.7824
2027-08-03,0.7911
2027-08-19,0.7743
2027-09-04,0.765
2027-09-20,0.7575
2027-10-06,0.7592
2027-10-22,0.7658
2027-11-07,0.7636
2027-11-23,0.7756
2027-12-09,0.777
2027-12-25,0.774
2028-01-10,0.7725
2028-01-26,0.812
2028-02-11,0.816
2028-02-27,0.8452
2028-03-14,0.8511
2028-03-30,0.8583
2028-04-15,0.8618
2028-05-01,0.8654
2028-05-17,0.858
2028-06-02,0.8568
2028-06-18,0.8066
2028-07-04,0.8103
2028-07-20,0.8062
2028-08-05,0.7972
2028-08-21,0.7784
2028-09-06,0.7696
2028-09-22,0.7584
2028-10-08,0.7638
2028-10-24,0.7639
2028-11-09,0.7628
2028-11-25,0.7726
2028-12-11,0.7766
2028-12-27,0.7718
2029-01-12,0.7728
2029-01-28,0.8121
2029-02-13,0.816
2029-03-01,0.8455
2029-03-17,0.8603
2029-04-02,0.8624
2029-04-18,0.865
2029-05-04,0.8654
2029-05-20,0.8581
2029-06-05,0.8568
2029-06-21,0.8066
2029-07-07,0.8103
2029-07-23,0.8062
2029-08-08,0.7972
2029-08-24,0.7784
2029-09-09,0.7696
2029-09-25,0.7584
2029-10-11,0.7638
2029-10-27,0.7639
2029-11-12,0.7628
2029-11-28,0.7726
2029-12-14,0.7766
2029-12-30,0.7718
2030-01-15,0.7728
2030-01-31,0.8121
2030-02-16,0.816
2030-03-04,0.8455
2030-03-20,0.8603
2030-04-05,0.8624
2030-04-21,0.865
2030-05-07,0.8654
2030-05-23,0.8581
2030-06-08,0.8568
2030-06-24,0.8066
2030-07-10,0.8103
2030-07-26,0.8062
2030-08-11,0.7972
2030-08-27,0.7784
